Ağakay, Mehmet Ali
Aksan, Doğan
Aksoy, Ömer Asım
Banguoğlu, H. Tahsin
Başkan Özcan
Benveniste, Emile
Bloomfield, Leonard
Boas, Franz
Bréal, Michel
Brugmann, F. Karl
Bühler, Karl
Caferoğlu, Ahmet
Catford, John C.
Chomsky, Noam
Coserlu, Eugenio
Demircan, Ömer
Deny, Jean
Dilâçar, Agop
Dilemre, Saim Ali
Dionyslus, Thrax
Ergil, Muharrem
Firth, John R.
Gilliéron, Jules
Göktürk, Aşit
Grice, H. Paul
Halliday, Michael A. K.
Harris, Zellig S.
Hatiboğlu, Vecihe
Hjelmslev, Louis
Humboldt, Wilhelm von
Jespersen, Otto
Jones, Daniel
Labov, William
Lees, Robert
Lyons, John
Martinet, André
Melilet, Antoine,
Özdem, Ragıp Hulûsi
Panini
Passy, Paul
Paul, Hermann
Peirce, Charles Sender
Pike, Kenneth
Rask, Rasmus,
Sapir, Edward
Saussure, Ferdinand de
Schleicher, August
Sebüktekin, Hikmet
Selen, Nevin
Sweet, Henry
Tekin, Talat
Trubetzkoy, Nikolay
Üçop, Necip
Vardar, Berke
Whorf, Benjamin Lee
Wittgenstein, Ludwig
Yücel, Tahsin
